社員番号,研修実施日,研修カテゴリ,研修名
-2Sq3E0WkZj8pL7jxdL3Cg==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】DX概論
-2Sq3E0WkZj8pL7jxdL3Cg==,2024-04-16 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり概論
-5W_JQCSTAYe2gGJMuT4_w==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例①
-5W_JQCSTAYe2gGJMuT4_w==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例②
-5W_JQCSTAYe2gGJMuT4_w==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
-5W_JQCSTAYe2gGJMuT4_w==,2024-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例①
-5W_JQCSTAYe2gGJMuT4_w==,2024-11-29 00:00:00,DX講演会,【LB00-02】DX講演会 教育に生成AI 1129
-AUHIuzsGtdhhsPuX6dGLw==,2022-07-12 00:00:00,プロダクト開発_基礎,Webサイト基礎　～はじめてのWebサイト～
-AUHIuzsGtdhhsPuX6dGLw==,2022-09-08 00:00:00,デジタルマーケティング_基礎,インサイトフル導入研修
-EtuCRccKFQgi3UfXRvRkA==,2024-11-29 00:00:00,DX講演会,【LB00-02】DX講演会 教育に生成AI 1129
-GM1IvFNvQzu80HypdRkZA==,2022-08-30 00:00:00,プロダクト開発_基礎,アプリ開発基礎　～はじめてのWeb開発～〈8月）
-GiBQGI5tI6s2ro4QUUd9Q==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター事例
-GiBQGI5tI6s2ro4QUUd9Q==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター基礎
-J_LZatYK7_1pM_11ZOAyw==,2022-04-18 10:10:08,リテラシー_DX基礎,【DX基礎研修】DX概論
-J_LZatYK7_1pM_11ZOAyw==,2022-04-18 12:49:54,リテラシー_DX基礎,【DX基礎研修】ディスラプター①
-J_LZatYK7_1pM_11ZOAyw==,2022-04-19 15:41:26,リテラシー_DX基礎,【DX基礎研修】社内事例⑥
-J_LZatYK7_1pM_11ZOAyw==,2023-01-19 00:00:00,DX講演会,「デジタル革命の先にある新しい社会」
-JxDfe1I3lMhJDvo7mmvoA==,2023-12-11 00:00:00,DX講演会,IT３社講演会「生成AI」　
-K6Wmoe5UEPsygNo1tOiSg==,2023-09-27 00:00:00,データ利活用_実践,データ連携を知る
-L55fiDeaW3817ptW3EJUA==,2023-08-28 00:00:00,データ利活用_実践,事業データと活用研修
-Y6ZKKLdDz7rYbP_MnUrTg==,2022-04-18 09:19:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
-Y6ZKKLdDz7rYbP_MnUrTg==,2022-04-18 10:10:08,リテラシー_DX基礎,【DX基礎研修】DX概論
-Y6ZKKLdDz7rYbP_MnUrTg==,2022-04-18 12:49:54,リテラシー_DX基礎,【DX基礎研修】ディスラプター①
-Y6ZKKLdDz7rYbP_MnUrTg==,2023-09-28 00:00:00,DX講演会,先生DX講演会
-Y6ZKKLdDz7rYbP_MnUrTg==,2023-12-11 00:00:00,DX講演会,IT３社講演会「生成AI」　
-acPtdxINBUgXqpu4vFZcg==,2023-01-26 00:00:00,DX講演会,コミュニケーション学 「ツッコミ講座」
-acPtdxINBUgXqpu4vFZcg==,2023-03-09 00:00:00,DX講演会,アフターデジタル時代のUX経営
-acPtdxINBUgXqpu4vFZcg==,2023-10-19 00:00:00,システム開発_実践,過去事例から学ぶ開発トラブル予防
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF基礎
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DX概論
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】コンプライアンス・セキュリティ
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター事例
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター基礎
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例①
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例②
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例③
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり概論 UX概論 UIUX実践例・工夫例
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例① コアとなっている技術や思想とサービス紹介
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例① インフルエンサーマーケティング
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例① インフルエンサーマーケティング
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例② CDP
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例②
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例①
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例②
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例③
-eVRJ1yPWXf_0ljndBfpTA==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例④
-ibwaU2D_eur2L7vAlCmEg==,2023-12-11 00:00:00,DX講演会,IT３社講演会「生成AI」　
-jxlIDFHFEkeLp7PXL7f5g==,2023-01-19 00:00:00,DX講演会,「デジタル革命の先にある新しい社会」
-jxlIDFHFEkeLp7PXL7f5g==,2024-09-05 00:00:00,データ,【DP15】プロンプトエンジニアリング研修20240905
-jxlIDFHFEkeLp7PXL7f5g==,2024-10-04 00:00:00,データ利活用_実践,【DP13】テキストマイニングPython20241004
-p2QBnMqypcbFWS2kBaJVQ==,2022-12-21 00:00:00,デジタルマーケティング_基礎,動画×SNSを活用したマーケティング研修
-pCgACXhenqcdZvQy9wfWw==,2024-09-05 00:00:00,データ,【DP15】プロンプトエンジニアリング研修20240905
-pCgACXhenqcdZvQy9wfWw==,2024-09-11 00:00:00,データ利活用_実践,【DP14】Python環境構築実践研修0911
-pCgACXhenqcdZvQy9wfWw==,2024-09-16 00:00:00,データ利活用_基礎,"【LP04-1】AI UnivプロンプトE初級1009,16"
-pCgACXhenqcdZvQy9wfWw==,2024-09-25 00:00:00,DX講演会,【LB00-1】講演会AI0925
-pCgACXhenqcdZvQy9wfWw==,2024-10-04 00:00:00,データ利活用_実践,【DP13】テキストマイニングPython20241004
00OemRCde3Nza0CJL4_rug==,2022-08-25 00:00:00,プロダクト開発_基礎,UX基礎〈8月）
00OemRCde3Nza0CJL4_rug==,2024-11-29 00:00:00,DX講演会,【LB00-02】DX講演会 教育に生成AI 1129
025slTVvMtXAJpcZ4_oCMQ==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF基礎
025slTVvMtXAJpcZ4_oCMQ==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DX概論
025slTVvMtXAJpcZ4_oCMQ==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
025slTVvMtXAJpcZ4_oCMQ==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】コンプライアンス・セキュリティ
025slTVvMtXAJpcZ4_oCMQ==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター事例
025slTVvMtXAJpcZ4_oCMQ==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター基礎
025slTVvMtXAJpcZ4_oCMQ==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例①
025slTVvMtXAJpcZ4_oCMQ==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例②
025slTVvMtXAJpcZ4_oCMQ==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例③
025slTVvMtXAJpcZ4_oCMQ==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり概論 UX概論 UIUX実践例・工夫例
025slTVvMtXAJpcZ4_oCMQ==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例① コアとなっている技術や思想とサービス紹介
025slTVvMtXAJpcZ4_oCMQ==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例① インフルエンサーマーケティング
025slTVvMtXAJpcZ4_oCMQ==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例① インフルエンサーマーケティング
