社員番号,カテゴリ,研修名,実施日
-4taxxVbT1nU-J5fHWmDfQ==,3等級昇格者研修,3等級昇格者研修,2023-06-02 00:00:00
-4taxxVbT1nU-J5fHWmDfQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
-4taxxVbT1nU-J5fHWmDfQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
-4taxxVbT1nU-J5fHWmDfQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
-4taxxVbT1nU-J5fHWmDfQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
-4taxxVbT1nU-J5fHWmDfQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
-4taxxVbT1nU-J5fHWmDfQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
-4taxxVbT1nU-J5fHWmDfQ==,中途研修,中途研修,2023-07-13 00:00:00
-GM1IvFNvQzu80HypdRkZA==,スキルアップ支援,,2024-01-06 00:00:00
-I0a3N4WhVWZE2icUkQumA==,OJTトレーナー研修,ティーチング＆フィードバック研修,2023-06-08 00:00:00
-I0a3N4WhVWZE2icUkQumA==,OJTトレーナー研修,ティーチング＆フィードバック研修,2023-06-08 00:00:00
-I0a3N4WhVWZE2icUkQumA==,ビジネススキルアップ研修,マーケティング,"2022/8/8,2022/8/31"
-I0a3N4WhVWZE2icUkQumA==,ビジネススキルアップ研修,マーケティング,"2022/8/8,2022/8/31"
-I0a3N4WhVWZE2icUkQumA==,ビジネススキルアップ研修,マーケティング,"2022/8/8,2022/8/31"
-I0a3N4WhVWZE2icUkQumA==,ビジネススキルアップ研修,マーケティング,"2022/8/8,2022/8/31"
-I0a3N4WhVWZE2icUkQumA==,ビジネススキルアップ研修,マーケティング,"2022/8/8,2022/8/31"
-I0a3N4WhVWZE2icUkQumA==,ビジネススキルアップ研修,マーケティング,"2022/8/8,2022/8/31"
-I0a3N4WhVWZE2icUkQumA==,中途研修,中途研修,2023-07-14 00:00:00
-JxDfe1I3lMhJDvo7mmvoA==,スキルアップ支援,,2022-05-02 00:00:00
-JxDfe1I3lMhJDvo7mmvoA==,スキルアップ支援,,2023-12-19 00:00:00
-K6Wmoe5UEPsygNo1tOiSg==,スキルアップ支援,,2024-05-02 00:00:00
-PBJLRtJ7Fd-zudjEGJzXA==,OJTトレーナー研修,ティーチング＆フィードバック研修,2022-05-26 00:00:00
-PBJLRtJ7Fd-zudjEGJzXA==,OJTトレーナー研修,ティーチング＆フィードバック研修,2022-05-26 00:00:00
-Tkwqmv0RHwwRrCKYk9hHg==,キャリア面談,社外カウンセラーによるキャリア面談,2024-12-01 00:00:00
-Tkwqmv0RHwwRrCKYk9hHg==,キャリア面談,社外カウンセラーによるキャリア面談,2024-12-01 00:00:00
-WNGlH_XHI3_niAnslX8gg==,マネジメント研修,新任課長研修,"2024/5/17,2024/7/83"
-WNGlH_XHI3_niAnslX8gg==,マネジメント研修,新任課長研修,"2024/5/17,2024/7/83"
-Y6ZKKLdDz7rYbP_MnUrTg==,スキルアップ支援,,2022-05-09 00:00:00
-Y6ZKKLdDz7rYbP_MnUrTg==,スキルアップ支援,,2022-06-26 00:00:00
-eVRJ1yPWXf_0ljndBfpTA==,2年目研修,2年目研修,2024-06-14 00:00:00
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員初期研修,2023/04/03-2023/04/103
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員初期研修,2023/04/03-2023/04/103
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員初期研修,2023/04/03-2023/04/103
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
-eVRJ1yPWXf_0ljndBfpTA==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,3等級昇格者研修,3等級昇格者研修,2024-06-21 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,スキルアップ支援,,2022-06-07 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-jxlIDFHFEkeLp7PXL7f5g==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-l_BZjYhszDf0lX3mY19Hw==,3等級昇格者研修,3等級昇格者研修,2022-09-30 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,OJTトレーナー研修,ティーチング＆フィードバック研修,2023-06-08 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,OJTトレーナー研修,ティーチング＆フィードバック研修,2023-06-08 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,スキルアップ支援,,2022-10-06 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,スキルアップ支援,,2022-10-25 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,スキルアップ支援,,2023-04-17 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-mEtto64zHrrnz_qq8h8Wg==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-n6KX458XY2qDEOTg56s_g==,3年目研修,3年目研修,"2022/9/15,2022/9/16"
-p2QBnMqypcbFWS2kBaJVQ==,3年目研修,3年目研修,"2022/9/15,2022/9/16"
-p2QBnMqypcbFWS2kBaJVQ==,スキルアップ支援,,2022-04-17 00:00:00
-p2QBnMqypcbFWS2kBaJVQ==,スキルアップ支援,,2022-05-27 00:00:00
-p2QBnMqypcbFWS2kBaJVQ==,スキルアップ支援,,2022-07-26 00:00:00
-p2QBnMqypcbFWS2kBaJVQ==,スキルアップ支援,,2022-07-26 00:00:00
-p2QBnMqypcbFWS2kBaJVQ==,スキルアップ支援,,2022-09-23 00:00:00
-p2QBnMqypcbFWS2kBaJVQ==,スキルアップ支援,,2023-12-21 00:00:00
-pCgACXhenqcdZvQy9wfWw==,スキルアップ支援,,2022-10-22 00:00:00
-pCgACXhenqcdZvQy9wfWw==,スキルアップ支援,,2023-06-17 00:00:00
-pCgACXhenqcdZvQy9wfWw==,ビジネススキルアップ研修,組織行動とリーダーシップ,2024-10-15 00:00:00
-pCgACXhenqcdZvQy9wfWw==,ビジネススキルアップ研修,組織行動とリーダーシップ,2024-10-15 00:00:00
-pCgACXhenqcdZvQy9wfWw==,ビジネススキルアップ研修,組織行動とリーダーシップ,2024-10-15 00:00:00
-pCgACXhenqcdZvQy9wfWw==,ビジネススキルアップ研修,組織行動とリーダーシップ,2024-10-15 00:00:00
-pCgACXhenqcdZvQy9wfWw==,ビジネススキルアップ研修,組織行動とリーダーシップ,2024-10-15 00:00:00
-pCgACXhenqcdZvQy9wfWw==,ビジネススキルアップ研修,組織行動とリーダーシップ,2024-10-15 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-06-06 00:00:00
