社員番号,year,勤務区分,役職
-1sqs0GXzpPJuAVKHUUFgg==,22,正社員,一般
-1sqs0GXzpPJuAVKHUUFgg==,23,正社員,一般
-1sqs0GXzpPJuAVKHUUFgg==,24,正社員,グループリーダー
-2Sq3E0WkZj8pL7jxdL3Cg==,23,正社員,一般
-2Sq3E0WkZj8pL7jxdL3Cg==,24,正社員,一般
-4jh26kLzkU8JFQwdeQU9w==,22,正社員(管理職),課長
-4jh26kLzkU8JFQwdeQU9w==,23,正社員(管理職),課長
-4jh26kLzkU8JFQwdeQU9w==,24,正社員(管理職),課長
-4taxxVbT1nU-J5fHWmDfQ==,22,正社員,一般
-4taxxVbT1nU-J5fHWmDfQ==,23,正社員,一般
-4taxxVbT1nU-J5fHWmDfQ==,24,正社員,一般
-5W_JQCSTAYe2gGJMuT4_w==,22,正社員,一般
-5W_JQCSTAYe2gGJMuT4_w==,23,正社員,一般
-5W_JQCSTAYe2gGJMuT4_w==,24,正社員,一般
-6LqZqVuZIYsbdzQPYGopw==,22,正社員,一般
-6LqZqVuZIYsbdzQPYGopw==,23,正社員,一般
-6LqZqVuZIYsbdzQPYGopw==,24,正社員,一般
-AUHIuzsGtdhhsPuX6dGLw==,22,正社員,一般
-AUHIuzsGtdhhsPuX6dGLw==,23,正社員,一般
-AUHIuzsGtdhhsPuX6dGLw==,24,正社員,一般
-DyuCGlo_yVK2ddwpxupSA==,23,正社員,一般
-DyuCGlo_yVK2ddwpxupSA==,24,正社員,一般
-EtuCRccKFQgi3UfXRvRkA==,22,正社員,一般
-EtuCRccKFQgi3UfXRvRkA==,23,正社員,一般
-EtuCRccKFQgi3UfXRvRkA==,24,正社員,一般
-GM1IvFNvQzu80HypdRkZA==,22,正社員,一般
-GM1IvFNvQzu80HypdRkZA==,23,正社員,一般
-GM1IvFNvQzu80HypdRkZA==,24,正社員,一般
-GiBQGI5tI6s2ro4QUUd9Q==,22,正社員(管理職),部長
-GiBQGI5tI6s2ro4QUUd9Q==,23,正社員(管理職),部長
-GiBQGI5tI6s2ro4QUUd9Q==,24,正社員(管理職),部長
-I0a3N4WhVWZE2icUkQumA==,22,正社員,一般
-I0a3N4WhVWZE2icUkQumA==,23,正社員,一般
-I0a3N4WhVWZE2icUkQumA==,24,正社員,一般
-J_LZatYK7_1pM_11ZOAyw==,22,正社員,一般
-J_LZatYK7_1pM_11ZOAyw==,23,正社員,一般
-J_LZatYK7_1pM_11ZOAyw==,24,正社員,一般
-JxDfe1I3lMhJDvo7mmvoA==,22,正社員(管理職),副部長
-JxDfe1I3lMhJDvo7mmvoA==,23,正社員(管理職),副本部長
-JxDfe1I3lMhJDvo7mmvoA==,24,正社員(管理職),副本部長
-K6Wmoe5UEPsygNo1tOiSg==,22,正社員,一般
-K6Wmoe5UEPsygNo1tOiSg==,23,正社員,一般
-K6Wmoe5UEPsygNo1tOiSg==,24,正社員,一般
-L55fiDeaW3817ptW3EJUA==,22,正社員,一般
-L55fiDeaW3817ptW3EJUA==,23,正社員,一般
-L55fiDeaW3817ptW3EJUA==,24,正社員,一般
-PBJLRtJ7Fd-zudjEGJzXA==,22,正社員,一般
-PBJLRtJ7Fd-zudjEGJzXA==,23,正社員,一般
-PBJLRtJ7Fd-zudjEGJzXA==,24,正社員,一般
-Q545sabvVHtuU5LPbUOuA==,22,正社員,一般
-Q545sabvVHtuU5LPbUOuA==,23,正社員,一般
-Q545sabvVHtuU5LPbUOuA==,24,正社員,一般
-Q5JF_Zj03QFrpbCJWPR3A==,22,正社員,一般
-Q5JF_Zj03QFrpbCJWPR3A==,23,正社員,一般
-Q5JF_Zj03QFrpbCJWPR3A==,24,正社員,一般
-ROtYLt1GZH8-p0w0EK7_Q==,23,正社員,一般
-ROtYLt1GZH8-p0w0EK7_Q==,24,正社員,一般
-RPuTo2GZzpo2vNGODVH3g==,23,正社員,一般
-RPuTo2GZzpo2vNGODVH3g==,24,正社員,一般
-RkCUW6Bc9i7FyltvMLMQw==,22,正社員,一般
-RkCUW6Bc9i7FyltvMLMQw==,23,正社員,一般
-RkCUW6Bc9i7FyltvMLMQw==,24,正社員,一般
-S9QbSSCkES29KNPhYUrqg==,22,正社員,一般
-S9QbSSCkES29KNPhYUrqg==,23,正社員,一般
-S9QbSSCkES29KNPhYUrqg==,24,正社員,一般
-Tkwqmv0RHwwRrCKYk9hHg==,22,正社員,一般
-Tkwqmv0RHwwRrCKYk9hHg==,23,正社員,グループリーダー
-Tkwqmv0RHwwRrCKYk9hHg==,24,正社員,グループリーダー
-WNGlH_XHI3_niAnslX8gg==,23,正社員(管理職),課長
-WNGlH_XHI3_niAnslX8gg==,24,正社員(管理職),課長
-Xm8AOnyXlLGKkgwUS21Ag==,22,正社員(管理職),課長
-Xm8AOnyXlLGKkgwUS21Ag==,23,正社員(管理職),課長
-Xm8AOnyXlLGKkgwUS21Ag==,24,正社員(管理職),課長
-Y6ZKKLdDz7rYbP_MnUrTg==,22,正社員,グループリーダー
-Y6ZKKLdDz7rYbP_MnUrTg==,23,正社員,グループリーダー
-Y6ZKKLdDz7rYbP_MnUrTg==,24,正社員(管理職),課長
-acPtdxINBUgXqpu4vFZcg==,22,正社員,一般
-acPtdxINBUgXqpu4vFZcg==,23,正社員,一般
-acPtdxINBUgXqpu4vFZcg==,24,正社員,一般
-eLKCVBd-FDF54NtqUgl7g==,22,正社員,一般
-eLKCVBd-FDF54NtqUgl7g==,23,正社員,一般
-eLKCVBd-FDF54NtqUgl7g==,24,正社員,一般
-eVRJ1yPWXf_0ljndBfpTA==,23,正社員,一般
-eVRJ1yPWXf_0ljndBfpTA==,24,正社員,一般
-fEPpc0w4YJ6Tx7AFDJSlg==,22,正社員,一般
-fEPpc0w4YJ6Tx7AFDJSlg==,23,正社員,一般
-fEPpc0w4YJ6Tx7AFDJSlg==,24,正社員,一般
-ibwaU2D_eur2L7vAlCmEg==,23,正社員(管理職),室長
-ibwaU2D_eur2L7vAlCmEg==,24,正社員(管理職),一般
-jH_wERNqxsLFkdsUu8Ifg==,22,正社員,一般
-jH_wERNqxsLFkdsUu8Ifg==,23,正社員,一般
-jH_wERNqxsLFkdsUu8Ifg==,24,正社員,一般
-jxlIDFHFEkeLp7PXL7f5g==,22,正社員,一般
-jxlIDFHFEkeLp7PXL7f5g==,24,正社員,グループリーダー
-l_BZjYhszDf0lX3mY19Hw==,22,正社員,一般
-l_BZjYhszDf0lX3mY19Hw==,23,正社員,一般
-l_BZjYhszDf0lX3mY19Hw==,24,正社員,一般
-mDlKTR8jzeZixwDjV0KcA==,23,正社員(管理職),本部長
-mDlKTR8jzeZixwDjV0KcA==,24,正社員(管理職),副本部長
-mEtto64zHrrnz_qq8h8Wg==,22,正社員,一般
-mEtto64zHrrnz_qq8h8Wg==,23,正社員,一般
-mEtto64zHrrnz_qq8h8Wg==,24,正社員,一般
-n6KX458XY2qDEOTg56s_g==,22,正社員,一般
-n6KX458XY2qDEOTg56s_g==,23,正社員,一般
