社員番号,category,target
-2Sq3E0WkZj8pL7jxdL3Cg==,コンテンツ・サービス・デザイン,0
-2Sq3E0WkZj8pL7jxdL3Cg==,コーポレート管理部門/技術・データ・BPR,0
-2Sq3E0WkZj8pL7jxdL3Cg==,プロダクトマネジメント,0
-2Sq3E0WkZj8pL7jxdL3Cg==,マーケティング,0
-2Sq3E0WkZj8pL7jxdL3Cg==,事業企画・開発・研究,0
-2Sq3E0WkZj8pL7jxdL3Cg==,営業,0
-4taxxVbT1nU-J5fHWmDfQ==,コンテンツ・サービス・デザイン,0
-4taxxVbT1nU-J5fHWmDfQ==,コーポレート管理部門/技術・データ・BPR,0
-4taxxVbT1nU-J5fHWmDfQ==,プロダクトマネジメント,0
-4taxxVbT1nU-J5fHWmDfQ==,マーケティング,0
-4taxxVbT1nU-J5fHWmDfQ==,事業企画・開発・研究,0
-4taxxVbT1nU-J5fHWmDfQ==,営業,0
-6LqZqVuZIYsbdzQPYGopw==,コンテンツ・サービス・デザイン,0
-6LqZqVuZIYsbdzQPYGopw==,コーポレート管理部門/技術・データ・BPR,0
-6LqZqVuZIYsbdzQPYGopw==,プロダクトマネジメント,0
-6LqZqVuZIYsbdzQPYGopw==,マーケティング,1
-6LqZqVuZIYsbdzQPYGopw==,事業企画・開発・研究,0
-6LqZqVuZIYsbdzQPYGopw==,営業,0
-EtuCRccKFQgi3UfXRvRkA==,コンテンツ・サービス・デザイン,0
-EtuCRccKFQgi3UfXRvRkA==,コーポレート管理部門/技術・データ・BPR,0
-EtuCRccKFQgi3UfXRvRkA==,プロダクトマネジメント,0
-EtuCRccKFQgi3UfXRvRkA==,マーケティング,0
-EtuCRccKFQgi3UfXRvRkA==,事業企画・開発・研究,0
-EtuCRccKFQgi3UfXRvRkA==,営業,0
-J_LZatYK7_1pM_11ZOAyw==,コンテンツ・サービス・デザイン,0
-J_LZatYK7_1pM_11ZOAyw==,コーポレート管理部門/技術・データ・BPR,0
-J_LZatYK7_1pM_11ZOAyw==,プロダクトマネジメント,0
-J_LZatYK7_1pM_11ZOAyw==,マーケティング,0
-J_LZatYK7_1pM_11ZOAyw==,事業企画・開発・研究,0
-J_LZatYK7_1pM_11ZOAyw==,営業,0
-RPuTo2GZzpo2vNGODVH3g==,コンテンツ・サービス・デザイン,0
-RPuTo2GZzpo2vNGODVH3g==,コーポレート管理部門/技術・データ・BPR,0
-RPuTo2GZzpo2vNGODVH3g==,プロダクトマネジメント,0
-RPuTo2GZzpo2vNGODVH3g==,マーケティング,0
-RPuTo2GZzpo2vNGODVH3g==,事業企画・開発・研究,0
-RPuTo2GZzpo2vNGODVH3g==,営業,0
-Tkwqmv0RHwwRrCKYk9hHg==,コンテンツ・サービス・デザイン,0
-Tkwqmv0RHwwRrCKYk9hHg==,コーポレート管理部門/技術・データ・BPR,1
-Tkwqmv0RHwwRrCKYk9hHg==,プロダクトマネジメント,0
